Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"المهدية, تونس",01/01/2020,57.2,48.2,54.7,44.1,,0.12,,,16.1,295.42,30,5.5,42.8,64.46,"Rain, Partially cloudy"
"المهدية, تونس",01/02/2020,60.8,50,56.3,,,0,,,13.9,297.83,25.3,5.3,19.5,73.27,Clear
"المهدية, تونس",01/03/2020,59,42.8,51.5,40,,0.01,,,6.9,230.87,16.1,5.1,7.1,82.48,Rain
"المهدية, تونس",01/04/2020,59,46.4,53,41.9,,0,,,13.9,256.52,20.8,4.8,35.5,77.35,Partially cloudy
"المهدية, تونس",01/05/2020,60.8,47.6,55.7,44.3,,0.04,,,19.7,288.54,32.2,5.4,37.6,74.95,"Rain, Partially cloudy"
"المهدية, تونس",01/06/2020,60.8,54.2,57.6,,,0,,,19.7,313.33,32.2,5.2,44,68.71,Partially cloudy
"المهدية, تونس",01/07/2020,60.8,48.2,55.4,45.1,,0,,,15,288.33,30,5.2,35.8,70,Partially cloudy
"المهدية, تونس",01/08/2020,59,46.4,52.6,45.3,,0.01,,,6.9,172.27,13.9,5.3,56,78.29,"Rain, Partially cloudy"
"المهدية, تونس",01/09/2020,62.6,48.2,55.3,,,0.01,,,13.8,111.71,17.2,4.7,16.3,80.75,Rain
"المهدية, تونس",01/10/2020,59.3,50,55.6,,,0.18,,,9.1,154.74,19.7,4.5,49.1,82.91,"Rain, Partially cloudy"
"المهدية, تونس",01/11/2020,59,51.8,55.3,,,0.51,,,18.3,86.25,26.4,4.6,39,75.48,"Rain, Partially cloudy"
"المهدية, تونس",01/12/2020,59,51.8,55.8,,,0.47,,,16.1,179.17,26.4,5,43.5,77.99,"Rain, Partially cloudy"
"المهدية, تونس",01/13/2020,57.2,53.6,56.2,,,0.7,,,17.2,88.33,27.7,4.8,65.4,78.5,"Rain, Partially cloudy"
"المهدية, تونس",01/14/2020,60.8,51.8,57.2,,,0.02,,,16.1,262.08,25.3,5.2,43.7,77.4,"Rain, Partially cloudy"
"المهدية, تونس",01/15/2020,60.8,44.6,52.6,42.1,,0.01,,,11.4,144.58,15,4.5,13.1,86.57,Rain
"المهدية, تونس",01/16/2020,59,42.8,51,41.2,,0.02,,,4.7,166.52,10.3,3.8,14.3,90.43,Rain
"المهدية, تونس",01/17/2020,59.3,42.8,52,40,,0.01,,,6.9,208.41,11.4,4.4,8.9,77.55,Rain
"المهدية, تونس",01/18/2020,62.6,44.6,54.5,39.7,,0,,,13.9,271.78,19.7,5.4,18.7,68.8,Clear
"المهدية, تونس",01/19/2020,64.4,44.6,53.5,48.1,,0.01,,,13.9,145.46,21.9,5.3,3.6,74.63,Rain
"المهدية, تونس",01/20/2020,62.6,50,57.7,,,0,,,27.7,100.42,39.1,5,33.1,83.3,Partially cloudy
"المهدية, تونس",01/21/2020,64.4,59,61.1,,,0,,,33.3,109.58,49.4,5,19.6,77.36,Clear
"المهدية, تونس",01/22/2020,64.4,57.2,60.2,,,0,,,21.9,117.08,40.3,5,28,79.56,Partially cloudy
"المهدية, تونس",01/23/2020,64.4,53.6,59,,,0.01,,,17.2,111.43,25.3,4.6,23.4,86.63,Rain
"المهدية, تونس",01/24/2020,69.8,55.4,60,,,0.01,,,12.7,122.5,20.8,4.2,24.6,86.83,Rain
"المهدية, تونس",01/25/2020,61.4,51.5,56.9,,,0.01,,,5.8,216.52,10.3,4.2,44.6,93.81,"Rain, Partially cloudy"
"المهدية, تونس",01/26/2020,68.3,50,58.6,,,0.01,,,16.1,216.09,16.1,4.4,15.1,72.43,Rain
"المهدية, تونس",01/27/2020,64.4,50,57.2,,,0.01,,,9.2,195.42,17.2,5.2,15.3,75.3,Rain
"المهدية, تونس",01/28/2020,68,48.2,57.7,44.6,,0,,,13.9,171.67,20.8,5.2,12,70.45,Clear
"المهدية, تونس",01/29/2020,68,46.4,57.7,44.2,,0.01,,,8.1,184.55,13.9,4.7,0.4,70.05,Rain
"المهدية, تونس",01/30/2020,64.5,53,59.5,,,0.01,,,9.2,211.36,13.9,5.6,9,73.58,Rain
"المهدية, تونس",01/31/2020,65.6,53.6,60,,,0,,,9.2,120.87,11.4,5.1,12.1,84.84,Clear
"المهدية, تونس",02/01/2020,64.5,53.6,60.1,,,0.01,,,8.1,82.5,12.7,4.7,20.8,82.76,Rain
"المهدية, تونس",02/02/2020,66.2,52.1,59.9,,,0,,,12.8,282.08,16.1,5.3,10.9,77.52,Clear
"المهدية, تونس",02/03/2020,74,53.6,63.9,,,0,,,19.7,267.92,30,5.4,6.6,62.86,Clear
